paper_version,paper_table,display_cell_id,row_index,row_label,result_position,metric,paper_value,native_reproduced_value,native_alpha_jungle_result_credit,paper_result_credit,status
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/LightGBM_IC,0,CoT | | | | |,0,LightGBM_IC,0.0434,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/LightGBM_RankIC,0,CoT | | | | |,1,LightGBM_RankIC,0.0395,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/LightGBM_AER,0,CoT | | | | |,2,LightGBM_AER,0.0707,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/LightGBM_IR,0,CoT | | | | |,3,LightGBM_IR,0.7461,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/MLP_IC,0,CoT | | | | |,4,MLP_IC,0.0421,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/MLP_RankIC,0,CoT | | | | |,5,MLP_RankIC,0.0393,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/MLP_AER,0,CoT | | | | |,6,MLP_AER,0.0922,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row0/MLP_IR,0,CoT | | | | |,7,MLP_IR,0.9962,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/LightGBM_IC,1,ToT | | | | |,0,LightGBM_IC,0.0459,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/LightGBM_RankIC,1,ToT | | | | |,1,LightGBM_RankIC,0.0427,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/LightGBM_AER,1,ToT | | | | |,2,LightGBM_AER,0.0868,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/LightGBM_IR,1,ToT | | | | |,3,LightGBM_IR,0.9337,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/MLP_IC,1,ToT | | | | |,4,MLP_IC,0.0452,,False,False,official_published_cell_not_natively_reproduced
