route_id,source,coverage,query_family,query_text,completed_by_utc,raw_hit_count_preserved,disposition_record,notes
ARXIV-Q1,"arXiv: cs.AI; cs.CL; cs.LG; cs.CE; q-fin.CP; q-fin.PM; q-fin.ST; q-fin.TR",inception_to_cutoff,Q1,"(LLM OR large language model OR agent* OR multi-agent) AND (alpha mining OR factor discovery OR formulaic alpha OR strategy generation)",2026-08-02T23:59:59Z,no,system_registry.csv,"Provider-specific syntax or stemming may differ; frozen candidate dispositions are preserved."
ARXIV-Q2,"arXiv: cs.AI; cs.CL; cs.LG; cs.CE; q-fin.CP; q-fin.PM; q-fin.ST; q-fin.TR",inception_to_cutoff,Q2,"(LLM OR large language model OR agent*) AND (trading OR portfolio OR stock selection) AND (return OR Sharpe OR backtest OR live)",2026-08-02T23:59:59Z,no,system_registry.csv,"Provider-specific syntax or stemming may differ; frozen candidate dispositions are preserved."
ARXIV-Q3,"arXiv: cs.AI; cs.CL; cs.LG; cs.CE; q-fin.CP; q-fin.PM; q-fin.ST; q-fin.TR",inception_to_cutoff,Q3,"(benchmark OR evaluation OR audit OR reproducib* OR artifact OR leakage) AND (alpha mining OR trading agent* OR quantitative investment)",2026-08-02T23:59:59Z,no,system_registry.csv,"Provider-specific syntax or stemming may differ; frozen candidate dispositions are preserved."
ACL-Q1,ACL Anthology,inception_to_cutoff,Q1,"(LLM OR large language model OR agent* OR multi-agent) AND (alpha mining OR factor discovery OR formulaic alpha OR strategy generation)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
ACL-Q2,ACL Anthology,inception_to_cutoff,Q2,"(LLM OR large language model OR agent*) AND (trading OR portfolio OR stock selection) AND (return OR Sharpe OR backtest OR live)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
ACL-Q3,ACL Anthology,inception_to_cutoff,Q3,"(benchmark OR evaluation OR audit OR reproducib* OR artifact OR leakage) AND (alpha mining OR trading agent* OR quantitative investment)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
OPENREVIEW-Q1,OpenReview,inception_to_cutoff,Q1,"(LLM OR large language model OR agent* OR multi-agent) AND (alpha mining OR factor discovery OR formulaic alpha OR strategy generation)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
OPENREVIEW-Q2,OpenReview,inception_to_cutoff,Q2,"(LLM OR large language model OR agent*) AND (trading OR portfolio OR stock selection) AND (return OR Sharpe OR backtest OR live)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
OPENREVIEW-Q3,OpenReview,inception_to_cutoff,Q3,"(benchmark OR evaluation OR audit OR reproducib* OR artifact OR leakage) AND (alpha mining OR trading agent* OR quantitative investment)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
ACM-Q1,ACM Digital Library,inception_to_cutoff,Q1,"(LLM OR large language model OR agent* OR multi-agent) AND (alpha mining OR factor discovery OR formulaic alpha OR strategy generation)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
