check,status,detail
v1_v2_version_identity,source_identical,v1/v2 main.tex is byte-identical; v2 changes the arXiv stamp/packaged bibliography
v2_to_v3_method_identity,wholesale_replacement,"title, authors, backbone, method, dates, baselines, metrics, tables, figures, and results change"
v1_transaction_cost_scope,explicit_future_work,legacy results do not include the v3 normalized after-cost protocol
v3_repository_claim,partially_supported,"substantial pipeline is released, but the full benchmark/controller/result lineage is not"
v3_five_seed_claim,release_incomplete,paper reports five independently trained seeds; release contains only seed 42
v3_complete_artifact_claim,retrieved_archive_incomplete,9 registered payloads are only LFS pointers
v3_test_claim,verified_with_boundary,111 tests pass using python -m pytest without LFS/model execution
v3_result_reconciliation_claim,not_independently_verifiable,no published-result arrays or table-generation path are released
v3_acceptance_replay_scope,correctly_disclaimed,data/model cards state that the replay is not full benchmark reproduction
v3_paper_source_build,completed_with_layout_difference,official source builds to 16 pages versus the 17-page arXiv rendering
