paper_table,family_or_setting,method,metric,paper_value,source_recomputed_value,absolute_error,display_tolerance,status,evidence
5,Market,B&H,GOOGL_arr_pct,-14.49,-16.532934661377794,2.042934661377794,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,META_arr_pct,45.64,49.25262452975643,3.612624529756431,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,MSFT_arr_pct,36.8,38.09831691870678,1.2983169187067816,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,NVDA_arr_pct,25.47,26.374934746095203,0.9049347460952042,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,TSLA_arr_pct,-28.91,-32.89039660199502,3.9803966019950217,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,average_arr_pct,12.9,12.860508986237118,0.03949101376288233,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,average_sr,0.57,0.36319742252722875,0.2068025774727712,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Market,B&H,average_mdd_pct,31.13,33.91321547297337,2.783215472973371,0.0050000000010000005,mismatch_against_pinned_current_yahoo,released_execution_rules_plus_pinned_current_yahoo_rounded_ohlc
5,Rule,MACD,GOOGL_arr_pct,-3.17,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,META_arr_pct,46.82,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,MSFT_arr_pct,-9.58,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,NVDA_arr_pct,-12.89,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,TSLA_arr_pct,22.77,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,average_arr_pct,8.79,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,average_sr,0.44,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,MACD,average_mdd_pct,21.24,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,GOOGL_arr_pct,-2.26,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
