paper_table,entity,market,period,metric,paper_value,cell_role,native_reproduced_value,absolute_difference,status,reason
2,Alpha158,CSI500,aggregate,IC,0.0053,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,CSI500,aggregate,ICIR,0.0634,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,CSI500,aggregate,RankIC,0.0115,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,CSI500,aggregate,RankICIR,0.1188,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,CSI500,aggregate,AR_pct,7.7,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,CSI500,aggregate,MDD_pct,-24.34,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,CSI500,aggregate,Sharpe,0.4055,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,IC,0.0155,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,ICIR,0.13,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,RankIC,0.0081,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,RankICIR,0.0611,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,AR_pct,14.36,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,MDD_pct,-21.86,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,Alpha158,S&P500,aggregate,Sharpe,0.6186,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,IC,0.0226,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,ICIR,0.2404,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,RankIC,0.0326,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,RankICIR,0.3403,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,AR_pct,6.75,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,MDD_pct,-30.28,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,CSI500,aggregate,Sharpe,0.3197,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,IC,0.0062,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,ICIR,0.0494,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,RankIC,-0.0013,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,RankICIR,-0.0096,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,AR_pct,14.1,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,MDD_pct,-24.58,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,GP,S&P500,aggregate,Sharpe,0.6534,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,IC,0.0095,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,ICIR,0.1124,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,RankIC,-0.0115,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,RankICIR,-0.1085,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,AR_pct,8.85,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,MDD_pct,-33.83,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,CSI500,aggregate,Sharpe,0.4028,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,S&P500,aggregate,IC,0.0133,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
2,LightGBM,S&P500,aggregate,ICIR,0.1009,result,,,unavailable_missing_native_result_path,"no paper data snapshot, native search trajectory/factor pool, or metric output is shipped"
