table_label,row_index,row_label,quantitative_column_index,printed_cell,unit_definition,source_document_recovered,raw_result_record_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
tab:fullperiod,2,Rule Agent (z-score),1,7.11%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,2,Rule Agent (z-score),2,13.50%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,2,Rule Agent (z-score),3,0.53,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,2,Rule Agent (z-score),4,-9.15%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,2,Rule Agent (z-score),5,55.65%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,3,Hawkish Agent,1,7.74%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,3,Hawkish Agent,2,13.57%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,3,Hawkish Agent,3,0.57,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,3,Hawkish Agent,4,-9.37%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,3,Hawkish Agent,5,55.65%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,4,Dovish Agent,1,7.61%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,4,Dovish Agent,2,13.57%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,4,Dovish Agent,3,0.56,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,4,Dovish Agent,4,-9.48%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,4,Dovish Agent,5,54.84%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,5,Debate Agent,1,7.69%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,5,Debate Agent,2,13.57%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,5,Debate Agent,3,0.57,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
