rank,milestone_id,title,evaluation_class,jkp_excess_annualized,raw_p_two_sided,holm_multiplier,holm_critical_value_5pct,holm_adjusted_p,holm_reject_5pct
1,M008,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,researcher_authored_in_spirit,-0.1206335880776891,0.0002653790337575,69,0.0007246376811594203,0.0183111533292675,True
2,M032,Trading-R1: Financial Trading with LLM Reasoning via Reinforcement Learning,researcher_authored_in_spirit,-0.083154955786108,0.0129795253104168,68,0.0007352941176470588,0.8826077211083424,False
3,M042,Alpha-R1: Alpha Screening with LLM Reasoning via Reinforcement Learning,researcher_authored_in_spirit,-0.0931594266692006,0.0158471953479494,67,0.0007462686567164179,1.0,False
4,M037,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination,researcher_authored_in_spirit,-0.0411055852645643,0.0221297380633898,66,0.0007575757575757576,1.0,False
5,M029,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,researcher_authored_in_spirit,-0.0465233808427621,0.0516959490634419,65,0.0007692307692307692,1.0,False
6,M053,AlphaCrafter: Harnessing Multi-Agent Workflows for Cross-Sectional Quantitative Trading,researcher_authored_in_spirit,-0.0780843460466415,0.0562404799884162,64,0.00078125,1.0,False
7,M010,LLMFactor: Extracting Profitable Factors through Prompts for Explainable Stock Movement Prediction,researcher_authored_in_spirit,-0.0554960891998635,0.0871159936983836,63,0.0007936507936507937,1.0,False
8,M012,Empirical Asset Pricing with Large Language Model Agents,researcher_authored_in_spirit,-0.0637264363324679,0.0951907160496884,62,0.0008064516129032258,1.0,False
9,M025,ContestTrade: A Multi-Agent Trading System Based on Internal Contest Mechanism,researcher_authored_in_spirit,-0.0695712181270743,0.0972697939901479,61,0.000819672131147541,1.0,False
10,M048,AlphaLogics: A Market Logic-Driven Multi-Agent System for Scalable and Interpretable Alpha Factor Generation,researcher_authored_in_spirit,-0.0381094241292755,0.0990361343243561,60,0.0008333333333333334,1.0,False
11,M050,Designing Agentic AI-Based Screening for Portfolio Investment,researcher_authored_in_spirit,-0.0256483557334683,0.1026870632486518,59,0.0008474576271186442,1.0,False
12,M020,MASS: Muli-agent simulation scaling for portfolio construction,researcher_authored_in_spirit,-0.0541282333860034,0.1071983752890675,58,0.0008620689655172415,1.0,False
13,M034,QuantAgents: Towards Multi-agent Financial System via Simulated Trading,researcher_authored_in_spirit,-0.0596629116830668,0.1188965870915976,57,0.0008771929824561404,1.0,False
14,M067,RAPTOR: Reasoned Agentic Portfolio Trading with Orchestrated Rebalancing,researcher_authored_in_spirit,-0.0215116689862938,0.1236547319180617,56,0.0008928571428571429,1.0,False
15,M065,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,researcher_authored_in_spirit,0.0385667646555608,0.1264990048491637,55,0.0009090909090909091,1.0,False
16,M057,MadEvolve: Evolutionary Optimization of Trading Systems with Large Language Models,researcher_authored_in_spirit,0.0548535590022087,0.1646737028696426,54,0.000925925925925926,1.0,False
17,M033,GuruAgents: Emulating Wise Investors with Prompt-Guided LLM Agents,carried_strict_adaptation,0.0064754578361754,0.1724501417591505,53,0.0009433962264150943,1.0,False
18,M001,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,carried_strict_adaptation,0.0297299532718342,0.173758587732177,52,0.0009615384615384616,1.0,False
