historical_path,contains_result_output_log_trace_checkpoint_submission_or_score_keyword,selected_artifact_candidate,path_role,attributable_to_published_75_competition_three_seed_run,paper_result_credit
"""rdagent/scenarios/finetune/train/BENCHMARK_\346\212\200\346\234\257\346\226\207\346\241\243.md""",False,False,ordinary_historical_source_path,False,False
.ai/README.md,False,False,ordinary_historical_source_path,False,False
.ai/task/nav.md,False,False,ordinary_historical_source_path,False,False
.ai/task/rl-naive-bench.md,False,False,ordinary_historical_source_path,False,False
.bumpversion.cfg,False,False,ordinary_historical_source_path,False,False
.commitlintrc.js,False,False,ordinary_historical_source_path,False,False
.devcontainer/Dockerfile,False,False,ordinary_historical_source_path,False,False
.devcontainer/README.md,False,False,ordinary_historical_source_path,False,False
.devcontainer/devcontainer.json,False,False,ordinary_historical_source_path,False,False
.devcontainer/env,False,False,ordinary_historical_source_path,False,False
.env.example,False,False,ordinary_historical_source_path,False,False
.env_my,False,False,ordinary_historical_source_path,False,False
.github/FUNDING.yml,False,False,ordinary_historical_source_path,False,False
.github/ISSUE_TEMPLATE/bug-report.md,False,False,ordinary_historical_source_path,False,False
.github/ISSUE_TEMPLATE/documentation.md,False,False,ordinary_historical_source_path,False,False
.github/ISSUE_TEMPLATE/feature-request.md,False,False,ordinary_historical_source_path,False,False
.github/ISSUE_TEMPLATE/question.md,False,False,ordinary_historical_source_path,False,False
.github/PULL_REQUEST_TEMPLATE.md,False,False,ordinary_historical_source_path,False,False
.github/dependabot.yml,False,False,ordinary_historical_source_path,False,False
.github/workflows/ci.yml,False,False,ordinary_historical_source_path,False,False
.github/workflows/pr.yml,False,False,ordinary_historical_source_path,False,False
.github/workflows/readthedocs-preview.yml,False,False,ordinary_historical_source_path,False,False
.github/workflows/release.yml,False,False,ordinary_historical_source_path,False,False
.gitignore,False,False,ordinary_historical_source_path,False,False
.readthedocs.yaml,False,False,ordinary_historical_source_path,False,False
.streamlit/config.toml,False,False,ordinary_historical_source_path,False,False
API_configuration.md,False,False,ordinary_historical_source_path,False,False
CHANGELOG.md,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
CODE_OF_CONDUCT.md,False,False,ordinary_historical_source_path,False,False
CONTRIBUTING.md,False,False,ordinary_historical_source_path,False,False
LICENSE,False,False,ordinary_historical_source_path,False,False
Makefile,False,False,ordinary_historical_source_path,False,False
NOTES.md,False,False,ordinary_historical_source_path,False,False
RD-Agent,False,False,ordinary_historical_source_path,False,False
README.md,False,False,ordinary_historical_source_path,False,False
README_keyword_rag.md,False,False,ordinary_historical_source_path,False,False
SECURITY.md,False,False,ordinary_historical_source_path,False,False
SIMPLE_LLM_FINETUNE_GUIDE.md,False,False,ordinary_historical_source_path,False,False
SUPPORT.md,False,False,ordinary_historical_source_path,False,False
TODO.md,False,False,ordinary_historical_source_path,False,False
analyze_idea_component.ipynb,False,False,ordinary_historical_source_path,False,False
analyze_logs_0523.py,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
analyze_logs_0523_length.py,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
analyze_logs_0523_prompts.py,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
build_idea_pool.py,False,False,ordinary_historical_source_path,False,False
checkpoint_analysis.py,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
constraints/3.10.txt,False,False,ordinary_historical_source_path,False,False
constraints/3.11.txt,False,False,ordinary_historical_source_path,False,False
constraints/3.8.txt,False,False,ordinary_historical_source_path,False,False
constraints/3.9.txt,False,False,ordinary_historical_source_path,False,False
dockerfile,False,False,ordinary_historical_source_path,False,False
docs/Makefile,False,False,ordinary_historical_source_path,False,False
docs/WeChat_QR_code.jpg,False,False,ordinary_historical_source_path,False,False
docs/_static/Framework-RDAgent.png,False,False,ordinary_historical_source_path,False,False
docs/_static/RD2bench.json,False,False,ordinary_historical_source_path,False,False
docs/_static/benchmark.png,False,False,ordinary_historical_source_path,False,False
docs/_static/demo.png,False,False,ordinary_historical_source_path,False,False
docs/_static/favicon.ico,False,False,ordinary_historical_source_path,False,False
docs/_static/flow.png,False,False,ordinary_historical_source_path,False,False
docs/_static/framework.png,False,False,ordinary_historical_source_path,False,False
docs/_static/logo.png,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
docs/_static/overview.png,False,False,ordinary_historical_source_path,False,False
docs/_static/scen.jpg,False,False,ordinary_historical_source_path,False,False
docs/_static/scen.png,False,False,ordinary_historical_source_path,False,False
docs/api_reference.rst,False,False,ordinary_historical_source_path,False,False
docs/changelog.md,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
docs/conf.py,False,False,ordinary_historical_source_path,False,False
docs/data_science_configuration_analysis.md,False,False,ordinary_historical_source_path,False,False
docs/demo_and_introduction.rst,False,False,ordinary_historical_source_path,False,False
docs/development.rst,False,False,ordinary_historical_source_path,False,False
docs/images/overview.png,False,False,ordinary_historical_source_path,False,False
docs/index.rst,False,False,ordinary_historical_source_path,False,False
docs/installation.rst,False,False,ordinary_historical_source_path,False,False
docs/installation_and_configuration.rst,False,False,ordinary_historical_source_path,False,False
docs/introduction.rst,False,False,ordinary_historical_source_path,False,False
docs/make.bat,False,False,ordinary_historical_source_path,False,False
docs/policy.rst,False,False,ordinary_historical_source_path,False,False
docs/project_framework_introduction.rst,False,False,ordinary_historical_source_path,False,False
docs/requirements.txt,False,False,ordinary_historical_source_path,False,False
docs/research/benchmark.rst,False,False,ordinary_historical_source_path,False,False
docs/research/catalog.rst,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
docs/research/dev.rst,False,False,ordinary_historical_source_path,False,False
docs/research/research.rst,False,False,ordinary_historical_source_path,False,False
docs/scenarios_and_quickstart.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/catalog.rst,True,False,keyword_path_source_template_test_or_unattributed_nonpaper_artifact,False,False
docs/scens/data_agent_fin.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/data_copilot_fin.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/data_science.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/finetune.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/kaggle_agent.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/kaggle_design.png,False,False,ordinary_historical_source_path,False,False
docs/scens/kaggle_template.png,False,False,ordinary_historical_source_path,False,False
docs/scens/model_agent_fin.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/model_agent_med.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/model_copilot_general.rst,False,False,ordinary_historical_source_path,False,False
docs/scens/quant_agent_fin.rst,False,False,ordinary_historical_source_path,False,False
docs/test_dropdown/test1.rst,False,False,ordinary_historical_source_path,False,False
docs/test_dropdown/test2.rst,False,False,ordinary_historical_source_path,False,False
docs/ui.rst,False,False,ordinary_historical_source_path,False,False
draft.py,False,False,ordinary_historical_source_path,False,False
draft/code_v0.py,False,False,ordinary_historical_source_path,False,False
draft/code_v1.py,False,False,ordinary_historical_source_path,False,False
draft/playground-series-s5e7.py,False,False,ordinary_historical_source_path,False,False
feedback.py,False,False,ordinary_historical_source_path,False,False
gemini_request/README.md,False,False,ordinary_historical_source_path,False,False
gemini_request/simple_test.py,False,False,ordinary_historical_source_path,False,False
gemini_request/try.py,False,False,ordinary_historical_source_path,False,False
git_ignore_folder/finetune/datasets/DeepScaleR-Preview-Dataset/README.md,False,False,ordinary_historical_source_path,False,False
git_ignore_folder/finetune/datasets/DeepScaleR-Preview-Dataset/deepscaler.json,False,False,ordinary_historical_source_path,False,False
git_ignore_folder/finetune/datasets/dataset_info.json,False,False,ordinary_historical_source_path,False,False
idea_v4.json,False,False,ordinary_historical_source_path,False,False
ideas_v4.json,False,False,ordinary_historical_source_path,False,False
job_log.txt,True,True,post_v2_single_competition_command_without_output,False,False
json_test.py,False,False,ordinary_historical_source_path,False,False
knowledge/externel_ideas_v4.json,False,False,ordinary_historical_source_path,False,False
knowledge/idea_test_v4.json,False,False,ordinary_historical_source_path,False,False
knowledge/internel_ideas_v4.json,False,False,ordinary_historical_source_path,False,False
knowledge/knowledge.json,False,False,ordinary_historical_source_path,False,False
marginalization.ipynb,False,False,ordinary_historical_source_path,False,False
mcp_config.json,False,False,ordinary_historical_source_path,False,False
mcp_config.json.example,False,False,ordinary_historical_source_path,False,False
mcts.ipynb,False,False,ordinary_historical_source_path,False,False
nav.md,False,False,ordinary_historical_source_path,False,False
