factor_id,name,formula,printed_syntax_recovered,independent_exact_syntax_parsed,independent_synthetic_evaluation_completed,finite_synthetic_values,semantic_operator_contract_author_released,author_native_runtime_used,paper_market_data_used,reported_result_lineage_verified,paper_result_credit
001,Intraday Range Position,"Neg(CsRank(Div(Sub($close, Min($close, 48)), Add(Sub(Max($close, 48), Min($close, 48)), 1e-8))))",True,True,True,2304,False,False,False,False,False
002,EMA Deviation,"Neg(Div(Sub($close, EMA($close, 10)), EMA($close, 10)))",True,True,True,2304,False,False,False,False,False
003,Vol-VWAP Divergence,"Sub(CsRank(Delta($volume, 1)), CsRank(Div(Sub($close, $vwap), $vwap)))",True,True,True,2292,False,False,False,False,False
004,High-Volume Relative Weakness,"Mul(CsRank(Div($volume, Mean($volume, 24))), CsRank(Neg($returns)))",True,True,True,2304,False,False,False,False,False
005,Range-Position Vol-Volume Cov Reversal,"Neg(Mul(TsRank(Div(Sub($close, TsMin($close, 12)), Add(Sub(TsMax($close, 12), TsMin($close, 12)), 1e-6)), 12), CsRank(Abs(Cov($returns, $volume, 12)))))",True,True,True,2172,False,False,False,False,False
006,VWAP Deviation,"Neg(Div(Sub($close, $vwap), $vwap))",True,True,True,2304,False,False,False,False,False
007,Price-Volume Mean Reversal,"Neg(Sub(CsRank(Div(Sub($close, $low), Add(Sub($high, $low), 0.0001))), CsRank(Delta(EMA($volume, 5), 5))))",True,True,True,2244,False,False,False,False,False
008,Normalized Money Strength Reversal,"Neg(Mul(CsRank(Div($returns, Add(Std($returns, 12), 0.0001))), CsRank(Div($volume, Mean($volume, 12)))))",True,True,True,2304,False,False,False,False,False
009,Volatility-Filtered Return Reversal,"Neg(Mul(CsRank($returns), CsRank(Std($returns, 12))))",True,True,True,2172,False,False,False,False,False
010,Price-Volume Divergence Reversal,"Neg(CsRank(Sub(CsRank(Div($close, Delay($close, 5))), CsRank(Div($volume, Delay($volume, 5))))))",True,True,True,2304,False,False,False,False,False
011,Price-VWAP Momentum Overextension,"Neg(Sub(CsRank(Delta($close, 6)), CsRank(Delta($vwap, 6))))",True,True,True,2232,False,False,False,False,False
012,Volume-Augmented VWAP Reversal,"Mul(CsRank(Neg(Div(Sub($close, $vwap), $vwap))), CsRank(Div($volume, EMA($volume, 12))))",True,True,True,2304,False,False,False,False,False
013,Illiquidity-Augmented VWAP Reversal,"Mul(CsRank(Neg(Div(Sub($close, $vwap), $vwap))), Sub(1, CsRank($volume)))",True,True,True,2304,False,False,False,False,False
014,Resilience-Momentum Blend Reversal,"Mul(Add(Mul(CsRank(Neg(Div(Sub($close, $vwap), $vwap))), 0.6), Mul(CsRank(Delta(Neg(Div(Sub($close, $vwap), $vwap)), 3)), 0.4)), CsRank(Delta(Div(Mean(Div(Abs($returns), Add($volume, 1)), 24), Add(Div(Abs($returns), Add($volume, 1)), 1e-6)), 3)))",True,True,True,1992,False,False,False,False,False
015,Volatility-Balanced Momentum Reversal,"Mul(CsRank(Neg(Delta($returns, 3))), Mul(Sub(1, CsRank(Std($returns, 12))), CsRank(Std($returns, 12))))",True,True,True,2172,False,False,False,False,False
016,VWAP-Deviation Acceleration Reversal,"Neg(Mul(CsRank(Delta(Div(Sub($close, $vwap), $vwap), 3)), CsRank(Div($volume, EMA($volume, 12)))))",True,True,True,2268,False,False,False,False,False
017,VWAP-Acceleration Volatility Reversal,"Neg(Mul(TsRank(Delta(Div(Sub($close, $vwap), $vwap), 3), 12), TsRank(Std($returns, 12), 12)))",True,True,True,2172,False,False,False,False,False
018,Range-Position Volume Regime Reversal,"Neg(Mul(TsRank(Div(Sub($close, TsMin($close, 12)), Add(Sub(TsMax($close, 12), TsMin($close, 12)), 1e-6)), 12), TsRank(Div($volume, EMA($volume, 12)), 12)))",True,True,True,2172,False,False,False,False,False
019,VWAP-Gap Regime Range Reversal,"IfElse(Greater(Abs(Div(Sub($close, $vwap), $vwap)), 0.01), Neg(CsRank(Sub($close, TsMax($close, 12)))), Neg(CsRank(Sub($close, TsMin($close, 12)))))",True,True,True,2172,False,False,False,False,False
020,Volume-Price Delta Divergence TsRank,"TsRank(Sub(CsRank(Delta($volume, 3)), CsRank(Delta($close, 3))), 18)",True,True,True,2100,False,False,False,False,False
021,Volume-Shock VWAP-Momentum Reversal,"Neg(Mul(TsRank(Delta(Div($volume, EMA($volume, 12)), 3), 12), TsRank(Delta(Div(Sub($close, $vwap), $vwap), 3), 12)))",True,True,True,2172,False,False,False,False,False
022,Lower-Shadow Ratio Reversal,"Neg(CsRank(Div(Sub(Min2($open, $close), $low), Add(Sub($high, $low), 0.0001))))",True,True,True,2304,False,False,False,False,False
023,Normalized-Momentum TsRank Reversal,"Neg(TsRank(Div(Delta($close, 3), Mean(Abs(Delta($close, 3)), 12)), 12))",True,True,True,2172,False,False,False,False,False
024,Open-Close Momentum Divergence,"Sub(TsRank(Delta($open, 6), 12), TsRank(Delta($close, 6), 12))",True,True,True,2172,False,False,False,False,False
025,Open-Close Momentum Divergence V2,"Sub(TsRank(Delta($open, 9), 18), TsRank(Delta($close, 9), 18))",True,True,True,2100,False,False,False,False,False
026,Price-Volume Covariance Position Long,"Neg(Mul(TsRank(Cov(TsRank($close, 18), TsRank($volume, 18), 10), 18), TsRank(Div(Sub($close, $low), Sub($high, $low)), 18)))",True,True,True,2100,False,False,False,False,False
027,Open-Volume Covariance Position,"Neg(Mul(TsRank(Cov(TsRank($open, 12), TsRank($volume, 12), 5), 12), TsRank(Div(Sub($close, $low), Sub($high, $low)), 12)))",True,True,True,2172,False,False,False,False,False
028,Close-Low × Volume Ratio,"Neg(Mul(Sub($close, $low), Div($volume, Mean($volume, 12))))",True,True,True,2304,False,False,False,False,False
029,High-Close × Volume Ratio,"Mul(Sub($high, $close), Div($volume, Mean($volume, 12)))",True,True,True,2304,False,False,False,False,False
030,Delta(High-Close)3 × Volume Ratio,"Mul(Delta(Sub($high, $close), 3), Div($volume, Mean($volume, 12)))",True,True,True,2268,False,False,False,False,False
