dimension,status,detail
official_document,complete,"v1 PDF, TeX source, bibliography, style files, and all five source rasters recovered"
source_rebuild,complete,unmodified TeX source rebuilt to a readable 19-page PDF; all 38 official/rebuilt pages visually inspected
agent_prompts,template_complete_runtime_missing,"eight active JSON templates parse exactly; no filled requests, responses, model parameters, or call traces"
factor_dsl,operation_inventory_complete_implementation_missing,59 allowed operation signatures are printed; no author DSL parser/executor or exact alias policy released
logic_schema,example_only,"typed H_struct and one Gamma example are printed, not the full deterministic compilation mapping"
algorithms,control_flow_complete_services_missing,"inner and outer pseudocode are executable as control flow, but agent and backtest services are unreleased"
data,sources_and_splits_named_snapshot_missing,"Baostock CSI500 and Yahoo S&P500 OHLCV/splits are named without point-in-time universes, retrieval dates, adjustments, missing-data rules, or frozen files"
models,families_named_configs_missing,"LightGBM and LLM names are given without versions for most models, hyperparameters, temperatures, seeds, exact requests, or responses"
objective,underspecified,"J may be IR, IC, ICIR, AR, or MDD; the actual scalar definition and tie handling are not fixed"
budgets,partially_specified,"20 trials, five rounds, and early stop 3 are stated; exact LLM-call and per-round candidate caps are not stated"
portfolio,misdescribed_and_incomplete,paper says top-outside/top 50/exclude bottom 5; Qlib defines topk as holdings and n_drop as positions replaced per trade date
costs,rates_specified_execution_missing,"market-specific buy/sell rates are stated without trade frequency, exchange settings, limit rules, slippage, price, benchmark, or exact Qlib config"
factor_reconstruction,criterion_underspecified,"100 Gemini repeats and >90 percent ranking/trend agreement are stated without formula sample, data, metric implementation, prompts, or outputs"
uncertainty,not_reported,"independent trials are claimed but seeds, per-trial results, dispersion, intervals, and significance tests are absent"
published_tables,not_regenerated,zero of 158 exact empirical table units regenerated by an attributable native pipeline
published_figures,not_regenerated,zero of 204 empirical raster markers across 18 empirical panels regenerated from recovered arrays
first_party_release,not_found_in_bounded_search,primary record/source list no code; exact paper/author searches and a likely coauthor account expose no AlphaLogics repository
independent_reproductions,components_only,three post-paper unaffiliated candidates were inspected; none supplies native paper inputs or result lineage
