table,printed_numeric_unit,printed_value,source_document_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
table_1_alphaevo500,1,0.676,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,2,0.08,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,3,0.11,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,4,0.657,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,5,0.35,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,6,0.43,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,7,0.942,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,8,0.36,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,9,0.47,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,10,0.951,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,11,0.68,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,12,0.78,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,13,0.970,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,14,0.75,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,15,0.88,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,16,0.972,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,17,0.73,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,18,0.82,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,19,0.872,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,20,0.68,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,21,0.71,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,22,0.886,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,23,0.71,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,24,0.86,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,25,0.864,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,26,0.74,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,27,0.78,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,28,0.851,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,29,0.66,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,30,0.74,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,31,0.954,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,32,0.75,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
