paper_version,experimental_lineage,table,category,strategy_or_variant,subgroup,regime_or_portfolio,metric,published_value,cell_kind,native_maci_output,duplicate_measurement_group,author_output_verified,native_regenerated_value,paper_result_credit,note,author_output_value,author_output_source
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,All,Cum_pct,-3.36,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-3.36,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,All,Avg_pct,0.06,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",0.06,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,All,Vol_pct,37.09,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",37.09,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,All,SR,0.091,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",0.091,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,All,MDD_pct,-29.73,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-29.73,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,All,Win_pct,46.2,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",46.2,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bull,Cum_pct,11.01,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",11.01,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bull,Avg_pct,0.5,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",0.5,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bull,Vol_pct,35.63,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",35.63,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bull,SR,0.734,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",0.734,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bull,MDD_pct,-15.22,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-15.22,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bull,Win_pct,44.4,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",44.4,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bear,Cum_pct,-21.24,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-21.24,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bear,Avg_pct,-1.41,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-1.41,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bear,Vol_pct,42.62,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",42.62,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bear,SR,-1.719,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-1.719,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bear,MDD_pct,-8.83,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-8.83,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,BTC Hold,GPT-4o,Bear,Win_pct,46.7,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",46.7,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,MCap Hold,GPT-4o,All,Cum_pct,-4.54,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",-4.54,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
v3,v3_three_architecture_calendar_2025,performance,Hold,MCap Hold,GPT-4o,All,Avg_pct,0.08,direct_result,False,,True,,False,"Printed unit matches the pinned author-repository table; this is output correspondence, not regeneration from released inputs.",0.08,lyc0603/cryptoMAS@318e0fe905fed8b7f544322c3db1dfed6784d178:tables/performance.tex
