table_label,row_index,row_label,metric,printed_value,released_value,author_release_evidence,verification_status,printed_cell_exactly_verified,author_native_experiment_executed,published_result_regenerated,paper_result_credit,boundary
tab:model_comparison,1,CSI 300,SR,-1.8027,-1.802700,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,1,CSI 300,MDD,0.0945,0.094475,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,2,CSI 500,SR,-1.6074,-1.607400,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,2,CSI 500,MDD,0.1423,0.142266,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,3,CSI 1000,SR,-0.1036,-1.036000,data/unified_backtest.json,contradicted_by_author_linked_output,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,3,CSI 1000,MDD,0.1456,0.145641,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,4,Time-MQA,MAE,0.0427,,,no_released_numeric_backing,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,4,Time-MQA,RMSE,0.2651,,,no_released_numeric_backing,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,4,Time-MQA,DA,0.4732,0.473200,data/model_accuracy.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,4,Time-MQA,ETA,0.5958,0.595800,data/model_accuracy.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,4,Time-MQA,SR,-4.2184,-4.218400,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,4,Time-MQA,MDD,0.1589,0.158896,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,5,ChatTS-14B,MAE,0.0932,,,no_released_numeric_backing,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,5,ChatTS-14B,RMSE,0.3271,,,no_released_numeric_backing,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,5,ChatTS-14B,DA,0.4995,0.499500,data/model_accuracy.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,5,ChatTS-14B,ETA,0.6223,0.622300,data/model_accuracy.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,5,ChatTS-14B,SR,-4.2827,-4.282700,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,5,ChatTS-14B,MDD,0.1675,0.167474,data/unified_backtest.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,6,TimeMaster,MAE,0.0472,,,no_released_numeric_backing,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,6,TimeMaster,RMSE,0.1015,,,no_released_numeric_backing,False,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
tab:model_comparison,6,TimeMaster,DA,0.4472,0.447200,data/model_accuracy.json,verified_author_linked_output,True,False,False,False,author-linked output corroboration is not regeneration through the unreleased training/backtest pipeline
