paper_table,model,asset,metric,paper_value,reproduced_value,reproduction_scope,current_public_response_verification,paper_result_credit,native_flag_trader_result_credit,status
Table 1,Buy & Hold,MSFT,CR_pct,15.340,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,MSFT,SR,1.039,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,MSFT,AV_pct,24.980,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,MSFT,MDD_pct,9.428,9.428045774,author_linked_investorbench_baseline,False,True,False,reproduced_author_linked_baseline_cell
Table 1,Buy & Hold,JNJ,CR_pct,13.895,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,JNJ,SR,1.343,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,JNJ,AV_pct,17.500,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,JNJ,MDD_pct,9.847,9.847460398,author_linked_investorbench_baseline,False,True,False,reproduced_author_linked_baseline_cell
Table 1,Buy & Hold,UVV,CR_pct,36.583,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,UVV,SR,2.112,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,UVV,AV_pct,29.299,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Buy & Hold,UVV,MDD_pct,15.406,15.406338419,author_linked_investorbench_baseline,False,True,False,reproduced_author_linked_baseline_cell
Table 1,Palmyra-Fin-70B,MSFT,CR_pct,14.697,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,MSFT,SR,0.897,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,MSFT,AV_pct,27.518,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,MSFT,MDD_pct,9.428,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,JNJ,CR_pct,5.748,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,JNJ,SR,0.450,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,JNJ,AV_pct,19.317,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,JNJ,MDD_pct,9.367,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,UVV,CR_pct,37.875,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,UVV,SR,2.039,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,UVV,AV_pct,31.200,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Palmyra-Fin-70B,UVV,MDD_pct,15.967,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,MSFT,CR_pct,17.184,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,MSFT,SR,0.962,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,MSFT,AV_pct,30.000,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,MSFT,MDD_pct,9.428,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,JNJ,CR_pct,13.561,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,JNJ,SR,1.086,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,JNJ,AV_pct,20.864,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,JNJ,MDD_pct,9.847,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,UVV,CR_pct,41.508,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,UVV,SR,2.147,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,UVV,AV_pct,32.479,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-o1-preview,UVV,MDD_pct,9.633,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,MSFT,CR_pct,16.654,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,MSFT,SR,0.932,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,MSFT,AV_pct,30.022,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,MSFT,MDD_pct,9.428,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,JNJ,CR_pct,13.712,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,JNJ,SR,1.103,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,JNJ,AV_pct,20.894,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,JNJ,MDD_pct,9.860,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,UVV,CR_pct,31.791,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,UVV,SR,1.640,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,UVV,AV_pct,32.567,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4,UVV,MDD_pct,10.434,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,MSFT,CR_pct,12.461,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,MSFT,SR,0.924,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,MSFT,AV_pct,22.653,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,MSFT,MDD_pct,6.647,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,JNJ,CR_pct,9.099,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,JNJ,SR,0.875,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,JNJ,AV_pct,17.471,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,JNJ,MDD_pct,7.169,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,UVV,CR_pct,8.043,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,UVV,SR,0.496,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,UVV,AV_pct,27.241,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,GPT-4o,UVV,MDD_pct,14.889,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,MSFT,CR_pct,7.421,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,MSFT,SR,0.588,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,MSFT,AV_pct,21.238,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,MSFT,MDD_pct,6.973,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,JNJ,CR_pct,14.353,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,JNJ,SR,1.140,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,JNJ,AV_pct,20.995,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,JNJ,MDD_pct,9.812,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,UVV,CR_pct,37.178,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,UVV,SR,1.822,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,UVV,AV_pct,34.223,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-72B-Instruct,UVV,MDD_pct,13.365,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,MSFT,CR_pct,17.396,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,MSFT,SR,1.335,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,MSFT,AV_pct,21.892,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,MSFT,MDD_pct,7.045,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,JNJ,CR_pct,13.868,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,JNJ,SR,1.121,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,JNJ,AV_pct,20.779,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,JNJ,MDD_pct,9.825,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,UVV,CR_pct,35.981,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,UVV,SR,1.728,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,UVV,AV_pct,34.986,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Llama-3.1-70B-Instruct,UVV,MDD_pct,15.406,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,MSFT,CR_pct,13.941,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,MSFT,SR,0.834,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,MSFT,AV_pct,28.081,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,MSFT,MDD_pct,7.850,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,JNJ,CR_pct,14.426,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,JNJ,SR,1.185,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,JNJ,AV_pct,20.450,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,JNJ,MDD_pct,9.825,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,UVV,CR_pct,29.940,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,UVV,SR,1.481,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,UVV,AV_pct,33.964,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-67B-Chat,UVV,MDD_pct,15.407,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,MSFT,CR_pct,22.093,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,MSFT,SR,1.253,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,MSFT,AV_pct,29.613,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,MSFT,MDD_pct,9.428,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,JNJ,CR_pct,14.004,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,JNJ,SR,1.180,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,JNJ,AV_pct,19.938,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,JNJ,MDD_pct,9.847,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,UVV,CR_pct,20.889,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,UVV,SR,1.020,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,UVV,AV_pct,34.417,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Yi-1.5-34B-Chat,UVV,MDD_pct,14.936,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,MSFT,CR_pct,-0.557,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,MSFT,SR,-0.041,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,MSFT,AV_pct,22.893,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,MSFT,MDD_pct,8.946,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,JNJ,CR_pct,2.905,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,JNJ,SR,0.292,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,JNJ,AV_pct,16.725,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,JNJ,MDD_pct,7.169,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,UVV,CR_pct,-1.623,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,UVV,SR,-0.097,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,UVV,AV_pct,27.973,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,Qwen2.5-32B-Instruct,UVV,MDD_pct,17.986,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-V2-Lite (15.7B),MSFT,CR_pct,11.904,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-V2-Lite (15.7B),MSFT,SR,0.694,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-V2-Lite (15.7B),MSFT,AV_pct,28.796,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-V2-Lite (15.7B),MSFT,MDD_pct,16.094,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
Table 1,DeepSeek-V2-Lite (15.7B),JNJ,CR_pct,-7.482,,,False,False,False,not_reproduced_no_exact_model_actions_trajectory_or_result_output
