paper_table,item,metric,statistic,display_cell_id,unique_measurement_id,paper_value,native_reproduced_value,status,paper_result_credit
Table 2 main MLE-Bench,MLAB/GPT-4o,valid_submission,mean,Table 2 main MLE-Bench/MLAB/GPT-4o/valid_submission/mean,Table 2 main MLE-Bench/MLAB/GPT-4o/valid_submission/mean,44.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,valid_submission,sem,Table 2 main MLE-Bench/MLAB/GPT-4o/valid_submission/sem,Table 2 main MLE-Bench/MLAB/GPT-4o/valid_submission/sem,2.6,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,above_median,mean,Table 2 main MLE-Bench/MLAB/GPT-4o/above_median/mean,Table 2 main MLE-Bench/MLAB/GPT-4o/above_median/mean,1.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,above_median,sem,Table 2 main MLE-Bench/MLAB/GPT-4o/above_median/sem,Table 2 main MLE-Bench/MLAB/GPT-4o/above_median/sem,0.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,bronze,mean,Table 2 main MLE-Bench/MLAB/GPT-4o/bronze/mean,Table 2 main MLE-Bench/MLAB/GPT-4o/bronze/mean,0,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,bronze,sem,Table 2 main MLE-Bench/MLAB/GPT-4o/bronze/sem,Table 2 main MLE-Bench/MLAB/GPT-4o/bronze/sem,0,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,silver,mean,Table 2 main MLE-Bench/MLAB/GPT-4o/silver/mean,Table 2 main MLE-Bench/MLAB/GPT-4o/silver/mean,0,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,silver,sem,Table 2 main MLE-Bench/MLAB/GPT-4o/silver/sem,Table 2 main MLE-Bench/MLAB/GPT-4o/silver/sem,0,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,gold,mean,Table 2 main MLE-Bench/MLAB/GPT-4o/gold/mean,Table 2 main MLE-Bench/MLAB/GPT-4o/gold/mean,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,gold,sem,Table 2 main MLE-Bench/MLAB/GPT-4o/gold/sem,Table 2 main MLE-Bench/MLAB/GPT-4o/gold/sem,0.5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,any_medal,mean,Table 2 main MLE-Bench/MLAB/GPT-4o/any_medal/mean,Table 2 main MLE-Bench/MLAB/GPT-4o/any_medal/mean,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,MLAB/GPT-4o,any_medal,sem,Table 2 main MLE-Bench/MLAB/GPT-4o/any_medal/sem,Table 2 main MLE-Bench/MLAB/GPT-4o/any_medal/sem,0.5,,not_reproduced_no_released_paper_run_artifact,False
