version,table_label,printed_numeric_unit,source_document_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
v1_v2,tab:comprehensive_results,1,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,2,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,3,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,4,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,5,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,6,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,7,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,8,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,9,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,10,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,11,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,12,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,13,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,14,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,15,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,16,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,17,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,18,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,19,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,20,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,21,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,22,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,23,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,24,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,25,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,26,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,27,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,28,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,29,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,30,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,31,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
v1_v2,tab:comprehensive_results,32,True,False,False,False,"legacy experiment code, data, checkpoints, prompts, and raw results were not released"
