asset,paper_strategy,regime,trace_declared_model,expected_runner_model,model_identity_status,period_start,period_end_exclusive,recorded_actions,full_period_trace,last_recorded_date,paper_metric_cells_matching,trace_declared_model_paper_strategy,trace_declared_model_metric_cells_matching,trace_declared_model_complete_paper_row_match,trace_declared_model_reassignment_required,action_replay_exact,action_replay_maximum_absolute_state_error,author_commit,author_blob,author_path,credit_status
btc,gpt_4o,bull,gpt-3.5-turbo,gpt-4o,mismatch,2023-10-01,2023-12-01,61,True,2023-11-30T00:00:00.000Z,4,gpt_3_5_turbo,0,False,True,True,0.0,a27f56c93941c1d50ee73dda9d2dff3c8117182f,b68ddce85603ba02435749e14a1d344504ef92ef,logs/btc-bull.out,diagnostic_only_model_or_period_conflict
btc,gpt_4o,bear,gpt-4o,gpt-4o,match,2023-04-12,2023-06-16,65,True,2023-06-15T00:00:00.000Z,4,gpt_4o,4,True,False,True,0.0,2ac2db026a308c538e287aa73407d39d67ecfe05,1c69b074049ee6017dfaa755b95ad5d2d616f252,logs/btc-bear-4o.out,credited_author_trace_exact_metric_and_state_replay
eth,gpt_4o,bear,gpt-4o,gpt-4o,match,2023-04-12,2023-06-16,65,True,2023-06-15 00:00:00 UTC,4,gpt_4o,4,True,False,True,0.0,ee084c491b11b4e7784a981dd5b85e7bc5c1d5af,bbc43e8b75bac93d77a83bd8a335eb463ecab7ac,logs/eth-bear-4o.out,credited_author_trace_exact_metric_and_state_replay
eth,gpt_4o,bull,gpt-4o,gpt-4o,match,2023-10-01,2023-12-01,61,True,2023-11-30 00:00:00 UTC,4,gpt_4o,4,True,False,True,0.0,ee084c491b11b4e7784a981dd5b85e7bc5c1d5af,cfe001453da16de42d7cba251c8164c620cdf405,logs/eth-bull-4o.out,credited_author_trace_exact_metric_and_state_replay
sol,gpt_4o,bull,gpt-3.5-turbo,gpt-4o,mismatch,2023-10-01,2023-12-01,61,True,2023-11-30T00:00:00.000Z,4,gpt_3_5_turbo,1,False,True,True,0.0,05425a5796c9ee1caf8c770f63a64b4ba12332af,85fef643c48c99657a4cb6cba879a0e2f39f67bb,logs/sol-bull.out,diagnostic_only_model_or_period_conflict
sol,gpt_4o,sideways,gpt-3.5-turbo,gpt-4o,mismatch,2023-07-08,2023-08-31,54,True,2023-08-30T00:00:00.000Z,4,gpt_3_5_turbo,0,False,True,True,0.0,05425a5796c9ee1caf8c770f63a64b4ba12332af,6a42968fb48040d586ee4bf6f0c6c3f567128663,logs/sol-sideways.out,diagnostic_only_model_or_period_conflict
btc,gpt_4o,sideways,gpt-3.5-turbo,gpt-4o,mismatch,2023-06-17,2023-08-25,69,True,2023-08-24T00:00:00.000Z,4,gpt_3_5_turbo,0,False,True,True,0.0,8d1477eea6a32c5286f434e19ac4e8fa8dd8cdf4,b24f2b400150ac2e9756496d995d7869a319cb75,logs/btc-sideways-gpt4o.out,diagnostic_only_model_or_period_conflict
btc,gpt_4,bear,gpt-4-turbo,gpt-4-turbo,match,2023-04-12,2023-06-16,65,True,2023-06-15T00:00:00.000Z,4,gpt_4,4,True,False,True,0.0,e2c73a721cf136964432e81ef248bd5500c9a090,c3dd49e08622076f4da40de36b927cc98664f579,logs/btc-bear-gpt4.out,credited_author_trace_exact_metric_and_state_replay
btc,gpt_4,bull,gpt-4-turbo,gpt-4-turbo,match,2023-10-01,2023-12-01,61,True,2023-11-30T00:00:00.000Z,4,gpt_4,4,True,False,True,0.0,e2c73a721cf136964432e81ef248bd5500c9a090,30771c1576f2920da9bfb14488465dd6a127f3ed,logs/btc-bull-gpt4.out,credited_author_trace_exact_metric_and_state_replay
btc,gpt_4,sideways,gpt-4-turbo,gpt-4-turbo,match,2023-06-17,2023-08-25,69,True,2023-08-24T00:00:00.000Z,4,gpt_4,4,True,False,True,0.0,e2c73a721cf136964432e81ef248bd5500c9a090,12fa12f385db64cc0d912cfb1f1e338af1f6fc64,logs/btc-sideways-gpt4.out,credited_author_trace_exact_metric_and_state_replay
eth,gpt_4,bear,gpt-4-turbo,gpt-4-turbo,match,2023-04-12,2023-06-16,65,True,2023-06-15 00:00:00 UTC,4,gpt_4,4,True,False,True,0.0,e2c73a721cf136964432e81ef248bd5500c9a090,7249f7842311ae173471a5409ae4f3cd966c0fb9,logs/eth-bear-gpt4.out,credited_author_trace_exact_metric_and_state_replay
eth,gpt_4,sideways,gpt-4-turbo,gpt-4-turbo,match,2023-06-20,2023-08-31,48,False,2023-08-06 00:00:00 UTC,4,gpt_4,4,True,False,True,0.0,e2c73a721cf136964432e81ef248bd5500c9a090,e93b74a29312a499f0555dd320830aca3f7ab78b,logs/eth-sideways-gpt4.out,diagnostic_only_model_or_period_conflict
sol,gpt_4,bear,gpt-3.5-turbo,gpt-4-turbo,mismatch,2023-04-12,2023-06-16,65,True,2023-06-15T00:00:00.000Z,4,gpt_3_5_turbo,0,False,True,True,0.0,e2c73a721cf136964432e81ef248bd5500c9a090,8c73c5f3be33d0b465de277b04524a4bc751095c,logs/sol-bear-gpt4.out,diagnostic_only_model_or_period_conflict
eth,gpt_4,bull,gpt-4-turbo,gpt-4-turbo,match,2023-10-01,2023-12-01,61,True,2023-11-30 00:00:00 UTC,4,gpt_4,4,True,False,True,0.0,f23f5c5bf7a569dae513255693f8e22033eaefb6,79c7f7aab0f72ef6caa89af22689d0aebdb6e76d,logs/eth-bull-gpt4.out,credited_author_trace_exact_metric_and_state_replay
sol,gpt_4,bull,gpt-4-turbo,gpt-4-turbo,match,2023-10-01,2023-12-01,61,True,2023-11-30T00:00:00.000Z,4,gpt_4,4,True,False,True,0.0,6a8849ea1cebee9f5d1043a65c9b497f996213fd,3d5d730f40652006a6750d716adfbf65ffe6ff6e,sol-bull-gpt4.out,credited_author_trace_exact_metric_and_state_replay
sol,gpt_4,sideways,gpt-4-turbo,gpt-4-turbo,match,2023-07-08,2023-08-31,54,True,2023-08-30T00:00:00.000Z,4,gpt_4,4,True,False,True,0.0,6a8849ea1cebee9f5d1043a65c9b497f996213fd,b0fffb74fd0f1a113a58d6b87b4813afdc4aac50,sol-sideways-gpt4.out,credited_author_trace_exact_metric_and_state_replay
