paper_mechanism,released_implementation_present,native_or_archived_execution_verified,paper_mechanism_faithfully_reproduced,paper_result_credit,note
five guru role prompts,True,True,False,False,"implemented and archived, but appendix text is edited rather than verbatim"
strategy-specific metric tools,True,True,True,False,all expected tool names occur once in each archived run
GPT-4o backbone,True,True,True,False,logs identify gpt-4o-2024-08-06
deterministic scoring pipeline,False,False,False,False,"scores and weights are generated by the LLM, not a deterministic Python scorer"
identical inputs yield identical outputs,False,False,False,False,no repeat trials or seed; three backend system fingerprints appear
LangChain execution,True,True,True,False,five agent executors use LangChain
LangGraph execution for reported agents,False,False,False,False,LangGraph appears only in an unrelated meta-agent path
NASDAQ-100 universe,True,False,False,False,fixed 100-name file lacks historical effective dates and some outputs are outside it
quarterly fundamental data,True,True,True,False,seven analysis quarters are released
point-in-time accounting availability,False,False,False,False,quarter labels have no filing/publication timestamps
OHLCV and shares data,True,True,True,False,released through 2025-08-12 without vendor/provenance metadata
quarterly rebalance,True,True,True,False,source uses analysis-end plus one day and 90-day holding intervals
one-basis-point gross-turnover cost,False,False,False,False,parameter is stored but never read by calculate_agent_returns
portfolio weights sum to 100,False,False,False,False,only 2 of 35 raw CSVs sum to 100; loader silently renormalizes
strict four-column output,False,False,False,False,only one archived response begins directly with the requested table
adjusted price return path,False,False,False,False,"backtest selects the first CLOSE column, which is unadjusted CLOSE_"
NASDAQ-100 index benchmark,False,False,False,False,released path uses QQQ ETF
S&P 500 index benchmark,False,False,False,False,released path uses SPY ETF
CAGR and daily/annual moments,False,False,False,False,paper Table 1 calculation code is not released
VaR and CVaR,False,False,False,False,not implemented by the released multi-agent notebook
maximum drawdown,True,True,True,False,notebook implements MDD; the two benchmark MDD cells match
paper Figure 1 paths,False,False,False,False,paper paths differ from the native notebook/workbook paths
paper Figure 2 distributions,False,False,False,False,paper plot visibly differs from released portfolio histories
source environment,False,False,False,False,requirements use unbounded lower limits and no lock/container
paper source compilation,True,True,True,False,arXiv source compiles twice to seven pages
