component,paper_specification,controlled_output,deterministic_control_passed,paper_derived_not_author_code,author_native_pipeline_executed,published_result_regenerated,paper_result_credit,boundary
single_step_log_return,printed discrete-action log return,0.09531017980432493,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
position_log_return,printed position-weighted log return,0.19062035960864987,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
position_update,printed direction-times-quantity state update,3.0,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
multi_timescale_score,printed raw-price 1/7/30-day score,38.0,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
literal_reward,printed unchanged-position penalty and total-position reward,6.0,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
sharpe_ratio,printed unannualized symbolic Sharpe ratio,1.5,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
maximum_drawdown,printed future-trough drawdown,0.25,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
empirical_var_cvar,printed lower-tail VaR/CVaR for explicit alpha,"[-4.0, -4.0]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
calmar_ratio,printed annual-return over absolute MDD,2.0,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
cr_percent_refusal,fail-closed guard for an unstated conversion,"""paper does not say whether CR% is 100*sum(log returns), 100*(exp(sum(log returns))-1), or an account-value return""",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
cvar_quantity_refusal,fail-closed guard for an unstated conversion,"""paper defines CVaR as a PnL/return statistic but gives no conversion from that statistic to the integer maxcvar order-size ceiling""",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a published FinPos result"
