version,claim,reported_percent,computed_percent,basis,rounded_numeric_match,semantic_issue
v1,Ours SR improvement TP,6.8,6.829268,best displayed baseline,yes,
v1,Ours SR improvement EW,8.9,8.940397,best displayed baseline,yes,
v1,Ours SR improvement VW,13.2,13.157895,best displayed baseline,yes,
v1,mean Ours SR improvement,9.6,9.642520,arithmetic mean of three relative improvements,yes,
v1,Ours MDD gain TP,2.9,2.917772,IPCA,yes,
v1,Ours MDD gain EW,2.3,2.253033,IPCA,yes,
v1,Ours VW MDD underperformance,10.9,10.944206,CA,yes,
v1,GPT-4 SR improvement TP,8.5,8.536585,best displayed baseline,yes,
v1,GPT-4 SR improvement EW,13.6,13.576159,best displayed baseline,yes,
v1,GPT-4 SR improvement VW,16.2,16.165414,best displayed baseline,yes,
v1,GPT-4 MDD gain TP,1.3,-1.326260,best displayed baseline,no,paper sign is wrong
v1,GPT-4 MDD gain EW,3.5,3.466205,best displayed baseline,yes,
v1,GPT-4 MDD gain VW,-2.4,-2.360515,best displayed baseline,yes,
v1,Ours alpha reduction,10.8,10.810811,paper-named baseline,yes,
v1,GPT-4 alpha reduction,13.5,13.513514,paper-named baseline,yes,
v1,Ours t-value reduction,1.6,1.639344,paper-named baseline,yes,paper calls a lower t-value an increase
v1,GPT-4 t-value reduction,3.3,3.278689,paper-named baseline,yes,paper calls a lower t-value an increase
v1,Ours significant-share reduction,6.1,6.122449,paper-named baseline,yes,
v1,GPT-4 significant-share reduction,6.1,6.122449,paper-named baseline,yes,
v1,Ours GRS reduction,0.6,0.626959,paper-named baseline,yes,
v1,GPT-4 GRS reduction,1.6,1.567398,paper-named baseline,yes,
v2,Ours SR improvement TP,9.0,9.067358,best displayed baseline,no,
v2,Ours SR improvement EW,11.2,11.231884,best displayed baseline,yes,
v2,Ours SR improvement VW,11.7,11.693548,best displayed baseline,yes,
v2,mean Ours SR improvement,10.6,10.664263,arithmetic mean of three relative improvements,no,
v2,Ours TP MDD gain,4.3,9.502262,paper says IPCA; 4.3 is only obtained against CA,no,wrong comparator
v2,Ours EW MDD gain,9.7,9.651899,IPCA,yes,
v2,Ours VW MDD underperformance,2.3,2.290076,"actual best is SDF-GAN, not paper-named CA",yes,wrong comparator name
v2,O1 SR improvement TP,9.1,11.658031,best displayed baseline,no,
v2,O1 SR improvement EW,14.1,14.130435,best displayed baseline,yes,
v2,O1 SR improvement VW,12.9,16.935484,best displayed baseline,no,
v2,O1 MDD gain TP,11.0,11.004785,best displayed baseline,yes,
v2,O1 MDD gain EW,15.7,15.664557,best displayed baseline,yes,
v2,O1 MDD gain VW,-0.6,-0.572519,best displayed baseline,yes,
v2,Ours alpha reduction,10.0,10.000000,paper-named leading baseline,yes,
v2,O1 alpha reduction,13.8,13.750000,paper-named leading baseline,yes,
v2,Ours t-value reduction,3.1,3.137255,paper-named leading baseline,yes,paper calls a lower t-value an increase
v2,O1 t-value reduction,5.5,5.490196,paper-named leading baseline,yes,paper calls a lower t-value an increase
v2,Ours significant-share reduction,5.2,5.172414,paper-named leading baseline,yes,
v2,O1 significant-share reduction,5.2,5.172414,paper-named leading baseline,yes,
v2,Ours GRS reduction,2.8,2.848576,paper-named leading baseline,yes,
v2,O1 GRS reduction,5.3,5.247376,paper-named leading baseline,no,
v2,GPT-4 vs GPT-3.5 SR,4.6,4.844291,standard relative increase uses GPT-3.5 denominator,no,
v2,GPT-3.5 vs SDF-GAN SR,5.9,5.860806,SDF-GAN,yes,
v2,GPT-4 vs SDF-GAN SR,11.0,10.989011,SDF-GAN,yes,
v2,O1-preview vs GPT-4o SR,2.6,2.605863,GPT-4o,yes,
v2,O1-mini vs GPT-4o SR,1.6,1.628664,GPT-4o,yes,
v2,GPT-3.5 alpha reduction vs SDF-GAN,6.3,6.250000,SDF-GAN,yes,
v2,GPT-4 alpha reduction vs SDF-GAN,8.8,8.750000,SDF-GAN,yes,
