paper_table,category,model,asset,metric,paper_value,native_reproduced_value,status,paper_result_credit
Table 3,SLM,Qwen-4B,NVDA,CR_pct,-1.59,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,NVDA,SR,-1.62,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,NVDA,HR_pct,52.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,NVDA,MDD_pct,2.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,AAPL,CR_pct,-0.81,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,AAPL,SR,-0.92,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,AAPL,HR_pct,41.7,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,AAPL,MDD_pct,3.76,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,MSFT,CR_pct,-1.45,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,MSFT,SR,-1.28,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,MSFT,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,Qwen-4B,MSFT,MDD_pct,4.38,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,AMZN,CR_pct,-2.90,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,AMZN,SR,-1.13,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,AMZN,HR_pct,46.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,AMZN,MDD_pct,6.05,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,META,CR_pct,1.32,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,META,SR,0.14,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,META,HR_pct,51.7,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,META,MDD_pct,3.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,SPY,CR_pct,-1.33,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,SPY,SR,-3.37,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,SPY,HR_pct,42.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,Qwen-4B,SPY,MDD_pct,1.71,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,NVDA,CR_pct,0.76,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,NVDA,SR,-0.09,,not_reproduced_official_code_model_data_and_predictions_not_released,False
