milestone_id,canonical_work_id,title,system_ids,status,common_evidence_class,common_jkp_evaluated,original_system_end_to_end_reproduced,prior_evidence_route,primary_cost_bps_one_way,full_months,full_cagr,full_annualized_sharpe,full_maximum_drawdown,average_traded_notional,jkp_excess_measure,jkp_excess_annualized,jkp_excess_t_hac,jkp_excess_p_two_sided,jkp_excess_ci_low_annualized,jkp_excess_ci_high_annualized,holm_rank_among_evaluable,holm_family_size,holm_adjusted_p,holm_reject_5pct,recipe_path,implementation_path,run_manifest_path,monthly_returns_path,metrics_path,verdict_path,evaluated_scope,closure_reason
M001,CensusArxiv241018448,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,SYS-GPT-SIGNAL,completed_adapted,headline_adaptation,True,False,public_code_available,10.0,305,-0.0144468016091922,-0.0630463213115228,-0.5842308824462518,0.661183566695666,rolling_jkp_alpha,0.0297299532718342,1.3602254611928828,0.173758587732177,-0.0131082668154098,0.0725681733590783,2,69,1.0,False,paper_runs/us_jkp_headline/M001_gpt_signal/recipe.json,scripts/run_us_jkp_headline.py,paper_runs/us_jkp_headline/M001_gpt_signal/run_manifest.json,paper_runs/us_jkp_headline/M001_gpt_signal/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M001_gpt_signal/metrics.csv,paper_runs/us_jkp_headline/M001_gpt_signal/verdict.md,"Published EVC signal and source-signed direction; JKP ratio conventions, U.S. universe, monthly cadence, common value-weighted decile portfolio, costs and factor attribution are disclosed adaptations.",One source-selected headline signal produced a complete 305-month common-benchmark path and verdict; the adaptation and non-claims are explicit.
M002,CensusACL2024emnlpmain63,CryptoTrade: A Reflective LLM-based Agent to Guide Zero-shot Cryptocurrency Trading,SYS-CRYPTO-TRADE,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M002_cryptotrade/recipe.json,,,,,paper_runs/us_jkp_headline/M002_cryptotrade/verdict.md,"No common-benchmark return: the central stateful four-call reflective agent has no defensible monthly U.S./JKP input, cross-sectional, or portfolio transfer without replacing most of its method.","A direct common-universe port requires 1,220,000 stateful LLM calls plus invented stock analogues for crypto transaction/news state and a new portfolio aggregation rule; every bounded shortcut tested at the design boundary removes the central reflective-agent mechanism."
M003,CensusACL2024findingsacl233,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,SYS-FAMA,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M003_fama/recipe.json,,,,,paper_runs/us_jkp_headline/M003_fama/verdict.md,"No common-task return: the headline is a factor-mining agent, but neither an executable miner nor a final mined factor/strategy is released, and the printed algorithm is internally inconsistent.","The only recovered prompt lacks its required function definition; the initial factor universe is 38 versus 71, the clustering equation changes the method, Algorithm 1 conflicts with the narrative, and no final factor or portfolio rule exists to evaluate without designing a new miner."
M004,CensusACL2025findingsacl716,FLAG-TRADER: Fusion LLM-Agent with Gradient-based Reinforcement Learning for Financial Trading,SYS-FLAG-TRADER,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M004_flag_trader/recipe.json,,,,,paper_runs/us_jkp_headline/M004_flag_trader/verdict.md,"No common-task return: the central LLM-policy/PPO training procedure, learned parameters and action policy are not released or unambiguously specified; InvestorBench buy-and-hold results are baselines only.","Although the paper records a prompt and 22 settings, it releases no implementation, checkpoint, trajectory or native output, and conflicts in state, action mask, reward, KL/value losses and annualization do not identify one trainable policy."
M005,CensusACL2026findingsacl456,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,SYS-ALPHA-QUANTER,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M005_alphaquanter/recipe.json,,,,,paper_runs/us_jkp_headline/M005_alphaquanter/verdict.md,No common-task return: released prompt/reward-label components do not identify the trained tool-augmented RL policy; using forward-looking reward labels as actions would be lookahead.,"The release lacks the 2025 test prompts, actions, multimodal inputs, complete VERL runtime, policy checkpoint, three-seed outputs and ratings; reward labels are future-return training targets rather than a causal trading rule."
M006,CensusArxiv231113743,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,SYS-FIN-MEM,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M006_finmem/recipe.json,,,,,paper_runs/us_jkp_headline/M006_finmem/verdict.md,"No common-task return: the central layered-memory LLM policy requires unreleased point-in-time text, memories, complete five-stock trials and a model/configuration that are not recoverable; historical actions are outputs, not a transferable rule.","A top-1,000 monthly port would require hundreds of thousands of independent stateful agents, invented numerical substitutes for news/filing memories, and a new cross-sectional portfolio rule; behavior cloning or action replay removes FinMem's layered-memory mechanism."
M007,CensusArxiv240203755,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,SYS-QUANT-AGENT-SELF-IMPROVING,completed_partial,central_partial_adaptation,True,False,paper_only_underspecified,10.0,305,0.0857043523924656,0.391368707360889,-0.6793935534298133,1.8312161351386944,rolling_jkp_residual_mean,0.0153521620214291,0.1794750671169848,0.8575646930155906,-0.152301680543855,0.18300600458671323,17,69,1.0,False,paper_runs/us_jkp_headline/M007_quantagent/recipe.json,scripts/run_disclosed_component_milestone.py,paper_runs/us_jkp_headline/M007_quantagent/run_manifest.json,paper_runs/us_jkp_headline/M007_quantagent/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M007_quantagent/metrics.csv,paper_runs/us_jkp_headline/M007_quantagent/verdict.md,"The paper's only executable published strategy component, the literal VolatilityBreakoutSignal with its source two-bar close lag, evaluated as an explicitly adapted monthly U.S. top-1,000 long-only strategy. This is not the unreleased self-improving LLM agent.","The full self-improving agent remains unavailable, but the only released executable strategy formula was preserved literally and produced a complete 305-month common-benchmark path. Researcher portfolio adaptations and the fact that earlier JKP outcomes were seen are explicit."
M008,CensusArxiv240209746,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,SYS-ALPHA-GPT,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M008_alpha_gpt_2_0/recipe.json,,,,,paper_runs/us_jkp_headline/M008_alpha_gpt_2_0/verdict.md,"No common-task return: Alpha-GPT 2.0 is an explicitly unfinished architecture proposal with no empirical experiment, executable agents, final alpha, causal trading rule, or portfolio; inactive Alpha-GPT 1 source files are not 2.0 evidence.","The authoritative four-page draft contains zero empirical result units and the source omits the agents, prompts, tools, memories, generated alpha and portfolio needed for execution. Every bounded substitute changes the system or attributes a different version's strategy to 2.0."
M009,CensusArxiv240218485,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",SYS-FIN-AGENT,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M009_finagent/recipe.json,,,,,paper_runs/us_jkp_headline/M009_finagent/verdict.md,"No common-task return: the headline multimodal LLM decision policy has no released paper-time inputs, memories, trajectories, native actions, or portfolio rule; runnable metrics, environment mechanics, and technical baselines do not generate FinAgent decisions.","The author-linked source is substantial, but its executable components stop short of the central policy and the native chart path exposes future prices. All bounded substitutes either use baselines/outputs, violate no-lookahead, or remove multimodal memory and reflection."
M010,CensusArxiv240610811,LLMFactor: Extracting Profitable Factors through Prompts for Explainable Stock Movement Prediction,SYS-LLM-FACTOR,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M010_llmfactor/recipe.json,,,,,paper_runs/us_jkp_headline/M010_llmfactor/verdict.md,"No common-task return: the headline three-stage relation/factor/prediction pipeline lacks author code, paper-time news, request/output traces, parser, predictions, and a portfolio rule; later community implementations materially change it.","Prompt skeletons alone cannot generate a formation-time signal without the missing news, matcher, request envelope, model behavior and parser. Both bounded community alternatives change the method and reproduce no paper result; JKP does not contain the central text inputs."
M011,CensusArxiv240706567,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,SYS-FIN-CON,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M011_fincon/recipe.json,,,,,paper_runs/us_jkp_headline/M011_fincon/verdict.md,"No common-task return: the central manager/analyst hierarchy, multimodal memories, CVaR reflection, conceptual verbal reinforcement, actions and portfolio optimizer are not released; the official repository and forks contain no code.","The complete official history and all accessible forks are README-only, and the paper omits the prompts, data, models, memory/CVRF state, action semantics and optimizer needed to generate the headline policy. Every bounded substitute removes its central mechanism."
M012,CensusArxiv240917266,Empirical Asset Pricing with Large Language Model Agents,SYS-EMPIRICAL-ASSET-PRICING-LLM,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M012_aapm/recipe.json,,,,,paper_runs/us_jkp_headline/M012_aapm/verdict.md,"No common-task return: the headline hybrid news-report/manual-factor pricing model lacks paper inputs, training/pretraining, trained weights, predictions and portfolio code; runnable memory/model fixtures do not produce a strategy.","The paper-era analysis reaches the first missing private news-analysis record before any LLM call, and no route exists from the released components to trained formation-time predictions or holdings. Bounded substitutes remove either the news-agent or trained hybrid mechanism."
M013,CensusArxiv241108899,FinVision: A Multi-Agent Framework for Stock Market Prediction,SYS-FIN-VISION,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M013_finvision/recipe.json,,,,,paper_runs/us_jkp_headline/M013_finvision/verdict.md,"No common-task return: five prompt templates are public, but the LangGraph system, original news/prices, actual model traces, actions, execution rules and portfolio trajectory are unavailable.","The recovered templates do not identify a tradable policy without runtime inputs, model snapshots, responses, orchestration and accounting. Every bounded substitute either replays a baseline/output or invents the central multi-agent execution."
M014,CensusArxiv241220138,TradingAgents: Multi-Agents LLM Financial Trading Framework,SYS-TRADING-AGENTS,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M014_tradingagents/recipe.json,,,,,paper_runs/us_jkp_headline/M014_tradingagents/verdict.md,"No common-task return: a substantive post-paper graph release exists, but it lacks paper-time inputs, model/configuration lineage, sizing, portfolio/execution state, backtester, metrics, daily arrays and cross-sectional allocation.","The nearest graph preserves several roles but materially differs from the experiment and stops before a tradable portfolio. A top-1,000 monthly port would require 305,000 new agent decisions and invented capital allocation/execution, while published outputs expose no recoverable holdings."
M015,CensusArxiv250100826,LLM-Powered Multi-Agent System for Automated Crypto Portfolio Management,SYS-MACI,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M015_maci/recipe.json,,,,,paper_runs/us_jkp_headline/M015_maci/verdict.md,"No common-task return: the v1/v2 four-expert crypto strategy has recovered training payloads and portfolio functions but no verified paper fine-tuning job/checkpoint, market inputs, expert predictions, holdings or stock-transfer rule; v3 is a different experiment.","Without the selected fine-tuned experts and paper-time blockchain/market/news inputs, the released portfolio rules have no causal scores. Every bounded route either creates a new model, fabricates data, substitutes a different version, or abandons the crypto-specific mechanism."
M016,CensusArxiv250200415,MarketSenseAI 2.0: Enhancing Stock Analysis through LLM Agents,SYS-MARKET-SENSE-AI,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M016_marketsenseai/recipe.json,,,,,paper_runs/us_jkp_headline/M016_marketsenseai/verdict.md,"No common-task return: the paper's monthly U.S. buy-signal portfolio shell is relevant, but the five-agent signal generator, prompts, point-in-time inputs, security ratings, holdings and execution path are not public.","Without monthly security-level buy/hold/sell records or an executable policy, equal/cap weighting has no holdings to consume. Every bounded alternative invents the central five-agent signal rather than adapting it."
M017,CensusArxiv250207393,FinRL-DeepSeek: LLM-Infused Risk-Sensitive Reinforcement Learning for Trading Agents,SYS-FIN-RL-DEEPSEEK,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M017_finrl_deepseek/recipe.json,,,,,paper_runs/us_jkp_headline/M017_finrl_deepseek/verdict.md,"No common-task return: released checkpoints and data execute, but the trained daily 84-stock policy and its 2019-2023 DeepSeek columns cannot consume the 1999-2024 monthly top-1,000 JKP state; the exact headline CPPO training lineage is also absent.","A common-calendar transfer requires a new model, score generator and state/action mapping, which would replace the central trained policy. The released original artifacts are runnable but neither dimensionally portable nor sufficient to identify the paper's headline CPPO result."
M018,CensusArxiv250213165,HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,SYS-HEDGE-AGENTS,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M018_hedgeagents/recipe.json,,,,,paper_runs/us_jkp_headline/M018_hedgeagents/verdict.md,"No common-task return: the public project is static documentation with profile screenshots and author tables but no specialist-agent, conference, optimizer, memory, tool, action, execution or portfolio implementation.",Bob's stock policy and Otto's allocation policy cannot be recovered from screenshots and symbolic equations. Every bounded alternative invents the central agent/conference mechanism or infers holdings from outputs that do not encode them.
M019,CensusArxiv250216789,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,SYS-ALPHA-AGENT,completed_partial,central_partial_adaptation,True,False,public_code_available,10.0,305,-0.0251142315810842,-0.1395494874996248,-0.6417377766519234,1.1809421553200732,rolling_jkp_residual_mean,-0.0126634371335355,-0.5622563878092817,0.5739413478361304,-0.056806787463306654,0.03147991319623565,14,69,1.0,False,paper_runs/us_jkp_headline/M019_alphaagent/recipe.json,scripts/run_alphaagent_factor_pool_milestone.py,paper_runs/us_jkp_headline/M019_alphaagent/run_manifest.json,paper_runs/us_jkp_headline/M019_alphaagent/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M019_alphaagent/metrics.csv,paper_runs/us_jkp_headline/M019_alphaagent/verdict.md,"All six source-disclosed U.S. factor expressions from the paper-mechanism snapshot, combined by a strictly prior-trained rolling ridge score and the common monthly U.S. value-weighted decile adapter. This is not the LLM mining loop, anonymous native five-factor LightGBM run, or top-50/drop-5 paper result.","The strongest identifiable central partial produced a complete 305-month common-benchmark path without selecting among source factors on JKP outcomes. The exact native five-factor identity is unrecoverable, so formula-pool performance is reported only as an adapted partial."
M020,CensusArxiv250510278,MASS: Muli-agent simulation scaling for portfolio construction,SYS-MASS,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M020_mass/recipe.json,,,,,paper_runs/us_jkp_headline/M020_mass/verdict.md,"No common-task return: the release contains a dated investor-type distribution and SSE50-like inputs but no agent decisions, dated signals, U.S. panels, portfolio implementation or returns; native code proves the distribution cannot identify signals.","Two valid native decision assignments using the identical released distribution produce different stock signals, constructively proving the strategy is underidentified. The U.S. extension also lacks every input and result path needed for the common task."
M021,CensusArxiv250511122,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,SYS-ALPHA-JUNGLE,completed_partial,central_partial_adaptation,True,False,paper_only_underspecified,10.0,305,-0.0523513077653007,0.0213581306881494,-0.9851455787961186,0.7304112896599461,rolling_jkp_residual_mean,0.0352190371856645,0.7102268098430761,0.4775634980562181,-0.06197251274939199,0.13241058712072099,11,69,1.0,False,paper_runs/us_jkp_headline/M021_alpha_jungle/recipe.json,scripts/run_disclosed_component_milestone.py,paper_runs/us_jkp_headline/M021_alpha_jungle/run_manifest.json,paper_runs/us_jkp_headline/M021_alpha_jungle/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M021_alpha_jungle/metrics.csv,paper_runs/us_jkp_headline/M021_alpha_jungle/verdict.md,"The first paper-ordered Ours formula executable from approved JKP inputs, Table 7 formula 4 Diff(Ma(volume,20),3)/Ma(volume,60), under the existing monthly U.S. top-10 component adapter. This is not the LLM/MCTS search or native paper portfolio.",Formula 4 was selected before new re-accounting because formulas 1-3 require unavailable VWAP and it is first among the remaining source outputs. Its fixed holdings produce a complete 305-month common-benchmark path with explicit partial-scope boundaries.
M022,CensusArxiv250514738,R&D-Agent: An LLM-Agent Framework Towards Autonomous Data Science,SYS-RD-AGENT-QUANT,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M022_rd_agent/recipe.json,,,,,paper_runs/us_jkp_headline/M022_rd_agent/verdict.md,"No common-task return: the cited primary record is a general 75-competition MLE-Bench data-science agent with no stock signal, portfolio or investment result; R&D-Agent-Quant is a separate lineage.","A monthly U.S. return would require replacing the primary paper with a different quant application. The native components have no security or portfolio semantics, so non-evaluability is a scope fact rather than a missing implementation shortcut."
M023,CensusArxiv250717211,EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models,SYS-EFS,completed_partial,central_partial_adaptation,True,False,paper_only_underspecified,10.0,305,0.0841061448961453,0.6143187197190486,-0.4413112645937046,0.4615169876535521,rolling_jkp_residual_mean,0.00597008918308,0.3804052196570396,0.7036446406222473,-0.024789635391357912,0.03672981375751791,15,69,1.0,False,paper_runs/us_jkp_headline/M023_efs/recipe.json,scripts/run_disclosed_component_milestone.py,paper_runs/us_jkp_headline/M023_efs/run_manifest.json,paper_runs/us_jkp_headline/M023_efs/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M023_efs/metrics.csv,paper_runs/us_jkp_headline/M023_efs/verdict.md,"The paper's only explicitly U.S.-universe example, Table VI US50 skew-gated breakout, re-accounted under its existing literal-tree monthly U.S. top-10 adapter. This is not EFS search, Scores-to-Weights/RW, sparse optimization, or a native paper portfolio.","The U.S.-labeled factor was selected before new re-accounting and produces a complete 305-month path. It is the strongest identifiable common-market partial while the generated pool, search, scoring-to-weight and sparse portfolio pipeline remain unavailable."
M024,CensusArxiv250720474,MountainLion: A Multi-Modal LLM-Based Agent System for Interpretable and Adaptive Financial Trading,SYS-MOUNTAIN-LION,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M024_mountainlion/recipe.json,,,,,paper_runs/us_jkp_headline/M024_mountainlion/verdict.md,"No common-task return: attributable frontend/platform components exist, but no public pipeline generates the crypto forecasts and the paper supplies no portfolio, actions, holdings, costs, return path or U.S.-stock transfer.","Neither the forecast policy nor any trading strategy is identifiable from public artifacts. A forecast reconstruction would still lack the portfolio/execution object required by the common task, so every bounded alternative invents a strategy."
